ward,a,b,x,y,z
A.Narayanapura,-98027,52.89,-5448012,2733.7,-3.78
Banaswadi,-32596,23.34,-4873038,2416,2.04
Basavanapura,-804112,408.7,-3969553,1980.1,-0.157
Benniganahalli,-839395,423,-5890607,2939,-0.29
C.V.Raman Nagar,-326514,167.6,-4559398,2279.02,-0.1786
Devasandra,-240135,124.7,-4158404,2075,-0.619
Horamavu,-3053059,1541,-8960943,4466,-0.091
Hosathippasandra,-226838,117.7,-3654781,1821.1,0.78
Hoysala Nagar,-101886,54.15,-31117591,15611,-28.5
Krishnarajapuram,-322395,167.3,-4464998,2220,1.22
Maruthiseva Nagar,-204065,105.3,-11645354,5837,-10.28
Ramamurthy Nagar,-1374540,693.6,-5895903,2929,1.24
Sarvana Nagar,-717856,360.1,-3571724,1782.5,0.362
Thanisandra,-1094066,560.4,-7191267,3572,0.8
Vignana Nagar,-588282,301.4,-5817120,2907.6,-1.094
Vijinanapura,-38783,23.41,-5472128,2734.8,-2.08
Bagalagunte,-374407,193.5,-5700477,2834,0.81
H.M.T,-133757,75.4,-5639124,2801,1.26
Jalahalli,41032,-15.25,-7679161,3818,0.74
Laggere,-32508,19.49,-8937980,4643,-56.9
Lakshmidevi Nagar,-42575,23.98,-3385342,1684,2.06
Mallasandra,-94654,49.37,-2186264,1081,5.87
Peenya Industrial Area,-481445,247.9,-3994280,1994.8,0.133
Radhakrishna Temple,8080,-0.27,-10468336,5230,-2.6
Rajagopala Nagar,-170053,88.55,-4218089,2102,0.18
Shettyhalli,-1059970,537.3,-9999377,4982,-0.436
Chokkasandra,-341308,177,-2756678,1373,0.381
Dodda Bidarkallu,-3262492,1635,-2268513,1131,0.04
Hegganahalli,-46469,26.72,-4595503,2304.2,-4
Herohalli,-1696946,852.3,-5699106,2832,0.485
Kottigepalya,-519605,267.8,-6358407,3178,-0.9
Nagarabhavi,-121582,62.93,-8671224,4312,5
T.Dasarahalli,-21267,12.4,-7075883,3569,-22.7
Agaram,-1708849,854.1,-11229596,5608,-0.6
Agrahara Dasarahalli,-5094,4.222,-6647740,3352,-21
Aramane Nagar,-529436,269.1,-47319730,23556,-0.6
Attiguppe,-2511,4.16,-4247368,2188,-18.02
Azad Nagar,1559,0.562,-14113146,6990,42
Banashankari Temple,-11345,6.997,-2776948,1397.7,1.11
Bapuji Nagar,-2382,2.656,-5402852,2704,-6.9
Basavanagudi,599,1.992,-13174217,6707,-53.8
Basaveshwara Nagar,-5866,4.66,-13345296,6644,5.2
Bharathi Nagar,-44990,23.82,-6814645,3422,-14.5
Binnipete,-52482,27.58,-14166525,7145,-53.8
Chalavadipalya,-19526,10.26,-6152624,3070,-5.83
Chamarajapet,15283,-5.55,-13669410,6875,-24.8
Chickpete,-4454,3.748,-12203904,6359,-176.2
Cottonpet,-13654,8.12,-25905300,13002,-75.4
Dattathreya Temple,-394,1.664,-9649864,4808,12.8
Dayananda Nagar,-1344,1.617,-6106778,3230,-187.3
Deepanjali Nagar,-73777,40.86,-6620414,3309,-2.43
Dharmarayaswamy Temple,-20816,12.51,-24833475,12411,-20.6
Domlur,-53869,29.99,-10743275,5396,-9.92
Dr. Rajkumar,-4353,4.22,-7863155,3918,1.2
Gali Anjaneya Temple,-17920,10.91,-12080540,6072,-18.1
Gandhi Nagar,-166506,86.07,-24323782,12195,-18.9
Ganesh Mandira,-14468,10.45,-6211045,3112,-4.48
Ganga Nagar,-302682,153.6,-13923616,6952,-5.69
Gayathri Nagar,-1139,1.949,-7529118,4002,-173.9
Govindaraja Nagar,7495,-2.106,-6331070,3135,13.6
Hampi Nagar,9948,-2.66,-11608796,5832,-15.9
Hanumantha Nagar,38239,-17.28,-8787908,4428,-22.2
Hombegowda Nagar,-39881,22.48,-9096601,4556,-2.45
Hosahalli,-11,1.849,-11722875,6073,-123
J.P.Park,8511,-0.52,-9381792,4734,-13.6
Jagjivanram Nagar,-123,1.293,-4883990,2429,6.5
Jayachamarajendra Nagar,-19201,11.42,-3059239,1514,7
Jayamahal,-153895,78.58,-21165360,10538,5.59
Jaya Nagar,-136003,71.41,-14992467,7495,-1.79
Jaya Nagar East,-5656,4.87,-4596740,2296,5.72
Jogupalya,-16789,10.18,-2897372,1439,9.3
Kadumalleshwara,-43783,24.38,-7674346,3891,-22
Kamakshipalya,-12114,7.895,-8463334,4194,9.17
Kaveripura,-159937,82.46,-4315325,2167,-4.98
Kempapura Agrahara,1697,-0.0664,-6210713,3175,-102
Krishnarajendra Market,-14311,8.627,-14981424,7576,-65.2
Kushal Nagar,-2512,2.657,-3749081,1907,-27.1
Mahalakshmipuram,1249,1.39,-7109529,3603,-24
Malleshwaram,-28383,16.6,-17226044,8722,-51.3
Marappa Palya,-16503,12.2,-5360087,2667.2,1.68
Marenahalli,5396,-1.174,-12683256,6398,-53.9
Maruthi Mandira,1273,1.067,-12618379,6542,-151
Mathikere,1042,1.36,-4558311,2220,32.5
Moodalapalya,-7789,5.982,-6651802,3539,-105.5
Muneshwara Nagar,-2241,2.153,-6229520,3172,-68.1
Nagapura,-11075,9.07,-8214035,4053.7,12.82
Nandini Layout,-22192,13.77,-7117261,3548,-0.09
Neelasandra,-466,1.355,-10456557,5011,175
Okalipuram,-25924,14.28,-10001247,5037.9,-31.77
Padarayanapura,919.7,0.2409,-4552011,2524,-362
Pattabhiram Nagar,4426,0.89,-5268673,2630,1.99
Prakash Nagar,8351,-3.059,-16062816,7956,34
Pulikeshi Nagar,-105212,55.21,-2650088,1312,6.337
Rajaji Nagar,-4224,3.762,-15278437,7842,-131.6
Rajamahal,-15337,8.963,-13949970,7025,-54.6
Ramaswamypalya,-43811,23.22,-7047086,3510,1.4
Rayapuram,1033,0.301,-6000104,2999,-9.3
S. K. Garden,-196213,99.13,-454582,228,2.66
Sagayarapuram,-60455,31.37,-6406185,3216,-20.05
Sampangirama Nagar,-563287,284.6,-8413495,4202.2,0.2683
Shakthiganapathi Nagar,-554,1.798,-2678854,1252,62.1
Shankara Matha,-267,2.455,-7116275,3622,-32.3
Shanthala Nagar,-499093,253.7,-5847917,2892,5.04
Shanthi Nagar,-148408,77.56,-16748998,8373,-6.6
Shivaji Nagar,-1337,1.588,-10731468,5742,-422
Shiva Nagar,6740,-1.725,-13135721,6573,-16.5
Siddapura,-33526,17.88,-960917,485,14.94
Sri Nagar,3251,0.152,-7827931,4016,-62
Sriramamandir,-7811,6.033,-10749322,5338,7.5
Subhash Nagar,-62378,33.3,-6177054,3083.7,-3.17
Subrahmanya Nagar,6922,-1.49,-6663540,3345,-7
Sudhama Nagar,-17081,10.48,-24588435,12266,-10.7
Sunkenahalli,-13895,9.71,-3751887,1872.7,2.93
Ulsoor,-110738,57.26,-11521638,5776,-4.57
Vannarpet,1942,0.595,-4666202,2324,9
Vasanth Nagar,-434488,219.8,-17640973,8781,3.15
Vijay Nagar,26501,-11.5,-14098648,6978,31
Vishvesvarapuram,-88850,47.45,-13298573,6629.3,2.78
Vrishabhavathi,-13606,8.878,-2503133,1214,18.3
Yediyur,-12721,8.63,-4736922,2346.1,7.791
Yeshwanthpura,-1088208,560.5,-14373779,7186,-1.127
Devarajeevanahalii,-123525,63.41,-986512,497,-0.07
HBR Layout,-359129,187.4,-4537200,2212,6.21
Kacharakanahalli,-20672,13.87,-5847089,3014,-25.7
Kadugondanahalli,-5621,4.294,-4712659,2383.4,-21.52
Lingarajapuram,-10558,7.13,-11665733,5869,-31
Nagavara,-88456,48.15,-2844561,1403,5.92
Hebbala,-58520,31.43,-10083461,5039,-5.9
Kavalbyrasandra,-24381,15.38,-7449439,3751,-13.39
Sanjay Nagar,-14335,10.24,-12500770,6258,-9.4
Vishwanatha Nagenahalli,-11814,9.11,-5388329,2821,-39.2
Adugodi,-5161,4.79,-4120939,2057.4,-1.163
Arakere,-607374,311.6,-4910774,2459,-0.97
Begur,-3922775,1968,-7597431,3797,-0.808
Bilekahalli,-151104,81.43,-7364447,3684,-2.62
Bommanahalli,-66248,36.71,-3589746,1780,3.13
BTM Layout,-56648,32.4,-11798977,5961,-17.8
Ejipura,-55877,31.47,-10286146,5000,35.17
Gurappanapalya,-723,1.835,-5859286,2984,-39.5
Hongasandra,-49264,28.94,-4161620,2073.9,-0.106
HSR Layout,-158704,91.6,-15698062,7815,0.82
Jakkasandra,-89627,47.11,-5691225,2824,8.7
Kammanahalli,-5695,5.029,-6836780,3811,-183.4
Konena Agrahara,-240344,122.6,-3478650,1736,4.98
Koramangala,-244547,127.5,-15595173,7798,-2.97
Lakkasandra,-92572,48.28,-9357541,4684,-6.42
Madiwala,-7677,6.309,-23222524,10932,250.2
Mangammanapalya,-170511,91.29,-6076909,3024.3,0.239
Singasandra,-1441341,731.1,-4848148,2415.8,-0.0985
Suddaguntepalya,-84529,45.13,-7209243,3604,-1.31
Gangenahalli,-95168,48.64,-6842607,3434,-11.4
Manorayanapalya,-4065,3.744,-3914825,2030,-41.2
Garudacharpalya,-741694,379.6,-5407046,2697,-0.02
Hagadooru,-3098556,1551,1251722,-634,1.848
Hoodi,-3270871,1643,-3975909,1974,0.686
Kadugudi,-2049425,1030,-3899522,1944,0.105
Bellandur,-3562081,1802,-2077371,1037,-0.051
Doddanekundi,-1170022,601,-7795684,3881,0.14
HAL Airport,-1301649,653.4,-18092862,9031,-2.86
Jeevanabima Nagar,-103381,54.42,-6893297,3417,10.34
Marathahalli,-328646,168.3,-2593300,1228,14.3
Varthur,-8704362,4336,-7611767,3790,-0.033
Hemmigepura,-12542800,6247,-6176555,3078,0.0285
Jnanabharathi,-1221125,620,-7360702,3675,-0.545
Kengeri,-1282044,643.4,-5142624,2565,-0.246
Nayandahalli,-244910,124.9,-4813225,2406,-1.29
Rajarajeshwari Nagar,-2006424,1012,-10947697,5479,-1.67
Ullalu,-2133594,1070,-7771869,3882,-0.71
Anjanapura,-2902736,1450,-12896562,6436,-2.35
Byrasandra,-2276,2.88,-5085293,2532,7.76
Chikkalasandra,878,1.883,-3973676,2087,-43.5
Giri Nagar,-1954,4.67,-6877260,3482,-11.6
Gottigere,-1323325,667.2,-5634555,2803,0.56
Hosakerehalli,-17736,11.65,-3563828,1830,-16.29
J. P. Nagar,-38733,22.73,-9387128,4677,2.85
Jaraganahalli,-15311,9.851,-7653580,3858.8,-20.04
Karisandra,-13474,8.88,-4738677,2349.1,7.23
Kathriguppe,2578,1.125,-8538355,4359,-39
Konanakunte,-145824,79.13,-7234052,3534,10.39
